OTU,Size,Taxonomy,,,,,
Otu0347,4,Bacteria(100),Bacteroidetes(100),Sphingobacteria(100),Sphingobacteriales(100),Cytophagaceae(100),Ekhidna(100)
Otu0348,4,Bacteria(100),Bacteroidetes(100),Sphingobacteria(100),Sphingobacteriales(100),Sphingobacteriales_unclassified(100),Sphingobacteriales_unclassified(100)
Otu0349,4,Bacteria(100),Bacteroidetes(100),Sphingobacteria(100),Sphingobacteriales(100),Flammeovirgaceae(100),Flammeovirgaceae_unclassified(100)
Otu0350,4,Bacteria(100),Bacteroidetes(100),Sphingobacteria(100),Sphingobacteriales(100),Sphingobacteriales_unclassified(100),Sphingobacteriales_unclassified(100)
Otu0351,3,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100)
Otu0352,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0353,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0354,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Thiotrichales(100),Piscirickettsiaceae(100),Methylophaga(100)
Otu0355,3,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100)
Otu0356,3,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100)
Otu0357,3,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100)
Otu0358,3,Bacteria(100),Cyanobacteria_Chloroplast(100),Cyanobacteria(100),Cyanobacteria_order_incertae_sedis(100),Cyanobacteria_order_incertae_sedis_unclassified(100),Cyanobacteria_order_incertae_sedis_unclassified(100)
Otu0359,3,Bacteria(100),Cyanobacteria_Chloroplast(100),Cyanobacteria(100),Cyanobacteria_order_incertae_sedis(100),Family_II(100),GpIIa(100)
Otu0360,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0361,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0362,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0363,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0364,3,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100)
Otu0365,3,Bacteria(100),Cyanobacteria_Chloroplast(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100)
Otu0366,3,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100)
Otu0367,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100)
Otu0368,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100)
Otu0369,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0370,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100)
Otu0371,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0372,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0373,3,Bacteria(100),Cyanobacteria_Chloroplast(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100)
Otu0374,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0375,3,Bacteria(100),Cyanobacteria_Chloroplast(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100)
Otu0376,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0377,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0378,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0379,3,Bacteria(100),Planctomycetes(100),Planctomycetacia(100),Planctomycetales(100),Planctomycetaceae(100),Planctomycetaceae_unclassified(100)
Otu0380,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Pseudomonadales(100),Moraxellaceae(100),Psychrobacter(100)
Otu0381,3,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100)
Otu0382,3,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100)
Otu0383,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Gammaproteobacteria_order_incertae_sedis(100),Gammaproteobacteria_family_incertae_sedis(100),Solimonas(100)
Otu0384,3,Bacteria(100),Proteobacteria(100),Betaproteobacteria(100),Burkholderiales(100),Burkholderiales_incertae_sedis(67),Aquabacterium(67)
Otu0385,3,Bacteria(100),Proteobacteria(100),Betaproteobacteria(100),Burkholderiales(100),Burkholderiaceae(100),Burkholderia(100)
Otu0386,3,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Sphingomonadales(100),Erythrobacteraceae(100),Erythrobacter(100)
Otu0387,3,Bacteria(100),Firmicutes(100),Bacilli(100),Bacillales(100),Planococcaceae(100),Lysinibacillus(100)
Otu0388,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Chromatiales(100),Granulosicoccaceae(100),Granulosicoccus(100)
Otu0389,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0390,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Alteromonadales(100),Pseudoalteromonadaceae(100),Algicola(100)
Otu0391,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Alteromonadales(100),Alteromonadaceae(100),Alteromonadaceae_unclassified(67)
Otu0392,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0393,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0394,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0395,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0396,3,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Rhizobiales(100),Rhizobiales_unclassified(100),Rhizobiales_unclassified(100)
Otu0397,3,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Rhodobacterales(100),Rhodobacteraceae(100),Rhodobacteraceae_unclassified(100)
Otu0398,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0399,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0400,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0401,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0402,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0403,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0404,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100)
Otu0405,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0406,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0407,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0408,3,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0409,3,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0410,3,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0411,3,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0412,3,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0413,3,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0414,3,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0415,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0416,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0417,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0418,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0419,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0420,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0421,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0422,3,Bacteria(100),Bacteroidetes(100),Flavobacteria(100),Flavobacteriales(100),Flavobacteriaceae(100),Flavobacteriaceae_unclassified(100)
Otu0423,3,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100)
Otu0424,3,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100)
Otu0425,3,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100)
Otu0426,3,Bacteria(100),Bacteroidetes(100),Flavobacteria(100),Flavobacteriales(100),Cryomorphaceae(67),Cryomorphaceae_unclassified(67)
Otu0427,3,Bacteria(100),Planctomycetes(100),Phycisphaerae(100),Phycisphaerales(100),Phycisphaeraceae(100),Phycisphaera(100)
Otu0428,3,Bacteria(100),Proteobacteria(100),Deltaproteobacteria(100),Desulfobacterales(100),Desulfobulbaceae(100),Desulfocapsa(100)
Otu0429,3,Bacteria(100),Planctomycetes(100),Phycisphaerae(100),Phycisphaerales(100),Phycisphaeraceae(100),Phycisphaera(100)
Otu0430,3,Bacteria(100),Verrucomicrobia(100),Verrucomicrobiae(100),Verrucomicrobiales(100),Verrucomicrobiaceae(100),Verrucomicrobiaceae_unclassified(100)
Otu0431,3,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Actinomycetales(100),Corynebacteriaceae(100),Corynebacterium(100)
Otu0432,3,Bacteria(100),Bacteroidetes(100),Sphingobacteria(100),Sphingobacteriales(100),Saprospiraceae(100),Lewinella(100)
Otu0433,3,Bacteria(100),Bacteroidetes(100),Sphingobacteria(100),Sphingobacteriales(100),Sphingobacteriales_unclassified(100),Sphingobacteriales_unclassified(100)
Otu0434,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0435,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0436,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0437,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0438,3,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0439,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0440,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0441,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0442,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0443,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0444,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0445,3,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0446,3,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0447,3,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0448,3,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0449,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0450,3,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0451,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0452,3,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0453,3,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100)
Otu0454,3,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0455,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0456,2,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100)
Otu0457,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0458,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0459,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0460,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0461,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0462,2,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100)
Otu0463,2,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100)
Otu0464,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0465,2,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100)
Otu0466,2,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100)
Otu0467,2,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100)
Otu0468,2,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100)
Otu0469,2,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100)
Otu0470,2,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100)
Otu0471,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0472,2,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100)
Otu0473,2,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100)
Otu0474,2,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100)
Otu0475,2,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100)
Otu0476,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0477,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0478,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0479,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0480,2,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100)
Otu0481,2,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100)
Otu0482,2,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100)
Otu0483,2,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100)
Otu0484,2,Bacteria(100),Bacteroidetes(100),Flavobacteria(100),Flavobacteriales(100),Flavobacteriaceae(100),Muricauda(100)
Otu0485,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100)
Otu0486,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100)
Otu0487,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100)
Otu0488,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100)
Otu0489,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100)
Otu0490,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100)
Otu0491,2,Bacteria(100),Cyanobacteria_Chloroplast(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100)
Otu0492,2,Bacteria(100),Cyanobacteria_Chloroplast(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100)
Otu0493,2,Bacteria(100),Bacteroidetes(100),Flavobacteria(100),Flavobacteriales(100),Flavobacteriaceae(100),Flavobacteriaceae_unclassified(100)
Otu0494,2,Bacteria(100),Bacteroidetes(100),Flavobacteria(100),Flavobacteriales(100),Flavobacteriaceae(100),Zeaxanthinibacter(100)
Otu0495,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100)
Otu0496,2,Bacteria(100),Bacteroidetes(100),Flavobacteria(100),Flavobacteriales(100),Flavobacteriaceae(100),Vitellibacter(100)
Otu0497,2,Bacteria(100),Bacteroidetes(100),Flavobacteria(100),Flavobacteriales(100),Flavobacteriaceae(100),Krokinobacter(100)
Otu0498,2,Bacteria(100),Bacteroidetes(100),Flavobacteria(100),Flavobacteriales(100),Flavobacteriaceae(100),Flavobacteriaceae_unclassified(100)
Otu0499,2,Bacteria(100),Bacteroidetes(100),Flavobacteria(100),Flavobacteriales(100),Flavobacteriaceae(100),Flavobacteriaceae_unclassified(100)
Otu0500,2,Bacteria(100),Bacteroidetes(100),Flavobacteria(100),Flavobacteriales(100),Flavobacteriaceae(100),Muricauda(100)
Otu0501,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Vibrionales(100),Vibrionaceae(100),Vibrionaceae_unclassified(100)
Otu0502,2,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Rickettsiales(100),Anaplasmataceae(100),Wolbachia(100)
Otu0503,2,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Rickettsiales(100),Anaplasmataceae(100),Wolbachia(100)
Otu0504,2,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Actinomycetales(100),Actinomycetales_unclassified(100),Actinomycetales_unclassified(100)
Otu0505,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0506,2,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100)
Otu0507,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0508,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0509,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Gammaproteobacteria_order_incertae_sedis(100),Gammaproteobacteria_family_incertae_sedis(100),Arenicella(100)
Otu0510,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Gammaproteobacteria_order_incertae_sedis(100),Gammaproteobacteria_family_incertae_sedis(100),Gammaproteobacteria_family_incertae_sedis_unclassified(100)
Otu0511,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0512,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0513,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0514,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0515,2,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100)
Otu0516,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0517,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0518,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0519,2,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
